comments_disabled; id; edge_media_to_caption; shortcode; edge_media_to_comment; taken_at_timestamp; dimension; edge_liked_by; owner; is_video
False; 2242273995387332167; Wie feierwütig sind die Hauptdarsteller Elyas M‘Barek, Frederick Lau & Co. aus „Nightlife“ wirklich? Und feiern sie den Valentinstag? Das und vieles mehr verraten sie in unserem neuen Video :up_arrow: Link in der Bio! #nightlife #elyasmbarek #fredericklau #digsterpop #nightlifederfilm #redcarpet #diesoderdas #gntm #maskedsinger #gntm2020 #valentinstag #ehrentagdersingles; B8eKFGYKGZH; 0; 1581520015; (750, 750); 418; 2242148075; True
False; 2242272542673277218; #gntm #gntm2020 #topmodel #germanysnexttopmodel #germanysnexttopmodel2020 #meme; B8eJv9bpxEi; 2; 1581519738; (1080, 1080); 316; 12023475941; False
False; 2242260571726816635; Die schönste Bikini Figur ever:red_heart: #gntm2020; B8eHBwnpCV7; 2; 1581518311; (1080, 1080); 11; 29353663354; False
False; 2242258581454120667; Zuckerpuppen :red_heart::red_heart: #gntm2020; B8eGkzCJObb; 2; 1581518074; (1080, 1080); 16; 29353663354; False
False; 2242079967647757578; \\ @germanysnexttopmodel \\ . Anzeige | :sweat_droplets: In dieser Staffel geht es schnell zur Sache. Wer hält den Druck stand und kann weiterhin überzeugen? :collision:Wie gefallen euch die Aufgaben in der neuen Folge? . . Donnerstag, 20:15 @prosieben . . #gntm #ichbingermanysnexttopmodel2020 #topmodel #tvshow #heidiklum #gntm2020 #oneeinsfab #lifestyle #beauty #fashion #designer #catwalk #challenge #girls; B8dd9n9qfUK; 1; 1581513915; (421, 750); 94; 4060759344; True
False; 2242217722211904361; Wuhu.. Morgen wieder Gntm2020, 20.15 auf Pro Sieben:smiling_face_with_smiling_eyes:Schon gehört, es wird :fire:Nacktshooting steht am Programm und ein sehr rutschiger Walk:grinning_face_with_sweat: Was glaubt ihr, schafft Sarah es in die nächste Runde :grinning_face_with_sweat: . . . . . . . . . . . . . . . . . . . . . . . #gntm #gntm20 #gntm2020 #germanysnexttopmodel2020 #germanysnexttopmodel #family#familyfanpage #pic #picoftheday #love #lovemykids #beautyful #beautyface #soproud #happy #doit #wishit #shecan #model; B8d9SN5hqtp; 6; 1581513203; (1080, 1080); 87; 28573876910; False
False; 2242211013724780064; „Was machen wir denn morgen? Nacktshooting!" #GNTM2020; B8d7wmIiLYg; 2; 1581512431; (1350, 1080); 254; 317407795; True
False; 2242204568053877051; It’s gonna be a night to remember. It’s gonna be the night to last forever. Well never ever ever forget! #party #fun #brass #kellerparty #hsm #partypeople #loveu #gntm2020 #musicstudents #music; B8d6SzInAk7; 2; 1581511635; (606, 1080); 82; 380044042; False
False; 2242194881652841775; 2020.03.19~21 (목~토)  창원컨벤션센터(CECO)에서 경남관광박람회가 개최됩니다 이번에 안내해드릴 정보는 창원시가 주최하고 경남관광박람회가 주관하는 경남관광명소 사진전에 대한 정보입니다:winking_face: 상금 및 부상도 준비 돼 있으니 많은 참여부탁드립니다 :smiling_face_with_3_hearts:  자세한사항은 경남관광박람회홈페이지를 확인해주세요:backhand_index_pointing_down: http://www.gntf.co.kr/html/main.html  #경남관광박람회 #gntm2020 #경남여행 #경남관광 #경남관광명소사진전; B8d4F1-Hd0v; 2; 1581510480; (1080, 1080); 15; 5497917178; False
False; 2242194471995227950; 2020.03.19~21 (목~토)  창원컨벤션센터(CECO)에서 경남관광박람회가 개최됩니다 •경상남도 여행을 준비하시는분 •여행을 좋아하시는 모든 분  다양한 경남여행정보&해택&이벤트와 상금 및 부상이 있는 사진 공모전 또한 개최되니 많은 관심부탁드립니다:smiling_face_with_3_hearts: 자세한사항은 경남관광박람회홈페이지를 확인해주세요:backhand_index_pointing_down: http://www.gntf.co.kr/html/main.html  #경남관광박람회 #gntm2020 #경남여행 #경남관광; B8d3_4cnr8u; 0; 1581510431; (1080, 1080); 10; 5497917178; False
False; 2242152693330308275; GNTM-Challenge 2: @luisalischke  Und der letzte Beitrag vom Dschungel-Shooting. Luisa hat sogar echt noch ein Top aus Blättern gebastelt!  #gntmchallenge #gntm #gntm2020 #germanysnexttopmodel #junglephotography #jungle #flashphotography #aerialphotography #aerialsilk #aerial #portraitphotography #peoplephotography #animalprint #snake #fotografie #fotoboewering; B8duf7CI2yz; 0; 1581505451; (1350, 1080); 77; 18075839353; False
False; 2242144052676245932; GNTM BEST OF  #readmylips #gntm2020 #gntm #gntmgr #gntmmemes #gntmgreece #greecesnexttopmodel #grntm #voiceover #voiceovers #starchanneltv #starchannel #greekquotes #greekmemes #greece #greek #ig_greece #igers_greece #gntm2 #greektv  #greek_memes #greek_quote #greek_quotes #greek_meme #angelosbratis #vickykaya #ilianapapageorgiou #dimitrisskoulos; B8dsiLzBbms; 34; 1581504595; (421, 750); 1512; 1669801038; True
False; 2242121152398247680; GNTM = Contentlieferant  #meme #gntm #gntm2020 #humor #schwarzerhumor #funny #relatable  #quote; B8dnU8QFkcA; 0; 1581501691; (624, 640); 13; 26487208033; False
False; 2242106547285684428; Hier wird es nie langweilig! Diese Woche steht das Nacktshooting für uns an! :grimacing_face: #GNTM2020 :camera_with_flash: @studio.bauendahl; B8dkAaLinDM; 1; 1581499950; (1350, 1080); 465; 20532617834; False
False; 2241811837477821859; :smiling_face_with_heart-eyes: @laura.gntm2020.official  @laura_micki #gntm #gntm2020 #laura #lauragntm #model #heidiklum #edit #gntmedit #love #beautiful #cute #happy #art #style #modeling #gntmmemes #gntmgames #gntmmeme #gntm_memes #gntmsketch #sketch #zeichnung #gntmgirls; B8cg_0SIZ2j; 0; 1581464818; (1080, 1080); 3; 30016194780; False
False; 2241763928736636105; Modelanfragen einfach per PM. #gntm #gntm2020 #catsofinstagram #adoptdontshop; B8cWGpyoZzJ; 0; 1581459107; (1080, 1080); 14; 28170916281; False
False; 2241759679957070739; May I introduce you to this cute dog which is posing like a pro :dog_face::smiling_face_with_heart-eyes:; B8cVI0zonOT; 9; 1581458600; (1349, 1080); 195; 359783229; False
False; 2241752220446197224; Die liebe Maribel:smiling_face_with_smiling_eyes: Bin gespannt, wie sie sich schlagen wird:victory_hand:  @maribel_gntm2020_official  @maribeltodt  #gntm #gntm2020 #maribel #maribelgntm #model #heidiklum #edit #gntmedit #love #beautiful #cute #happy #art #style #modeling #gntmmemes #gntmgames #gntmmeme #gntm_memes #gntmsketch #sketch #zeichnung #gntmgirls; B8cTcRmI4Xo; 0; 1581457711; (1163, 1080); 4; 30016194780; False
False; 2241750686176413408; Diesen Donnerstag kommt das große Nackt-shooting :collision: #gntm2020 #germanysnexttopmodel; B8cTF8siIbg; 3; 1581457528; (748, 750); 455; 28349213063; False
False; 2241675995470607539; Small sketch of my gntm favorite @julia.gntm2020.official this year :dizzy::two_hearts: Who is your favorite?:rose::red_heart: #gntm #gntm2020 #germanysnexttopmodel #teamjulia #artist #germanysnexttopmodel2020  #drawing #sketch #digitaldrawing #wip #pencil #fanart #fandom #smallsketch #support #zeichnung #zeichnen #künstler #hobby #illustration #sketchoftheday #art #kunst; B8cCHDji7Sz; 0; 1581448624; (1080, 1080); 40; 4159101246; False
False; 2241673901061699878; Hallo ihr lieben, :smiling_face_with_smiling_eyes: heute war ein etwas chaotischer Tag, bei mir in der Arbeit war viel los.:weary_face: Den Nachmittag bin ich entspannt angegangen.:thumbs_up: Erstmal habe ich yoga gemacht um richtig runterzukommen & zu entspannen.:sleepy_face: Dann waren ich & @pablo_pablu noch lecker Schnitzel essen :face_savoring_food:  Wie war euer Tag heute so ? .  Entspannt oder eher stressig? :camera_with_flash:: @photography.ludwig :smiling_face_with_smiling_eyes: werbung .  Schreibt es mir gerne unten in die Kommentare :backhand_index_pointing_down:  #heidiklum #carmushkis #carmushka #streetstyle #hairsandstyles  #itgirlagenten #outfitinspiration #doreenpresets #outfitideas #kristina2020 #gntm2020  #therubinrose  #teamkristina #picoftheday #under10k #support  #weareuniq  #amazing  #ootmagazine  #ootd #regensburg  #happyme  #photography  #shooting  #outfitoftheday  #me  #happy  #fashiongaols  #photooftheday  #blogger_de; B8cBok_C_km; 11; 1581448374; (1112, 1080); 116; 5193613851; False
False; 2241673282822696044; :red_heart: GIB DAS, WAS DIR WICHTIG IST, NIEMALS AUF, NUR WEIL ES NICHT EINFACH IST:heavy_heart_exclamation: . . . #gntm #gntm2020 #girls  #germanynexttopmodel #heidiklum #model #style #pose #germany #münchen #2020 #latina #latinagirl #dominicana :rose:@heidiklum @julienmacdonald :rose:@germanysnexttopmodel :red_heart:; B8cBflNIWxs; 9; 1581448301; (750, 750); 238; 11192721518; False
