comments_disabled; id; edge_media_to_caption; shortcode; edge_media_to_comment; taken_at_timestamp; dimension; edge_liked_by; owner; is_video
False; 1346546634402353438; #potsdam #ранняяосень #griebnitzsee #озеро #наберегу #babelsberg; BKv5QeZDNEe; 0; 1474740889; (1080, 1080); 6; 3964807919; False
False; 1346545998629938586; #potsdam #griebnitzsee #озеро #ранняяосень #наберегу #babelsberg #природа #nature #waldamsee #wald #лес #лесуозера #на берегу; BKv5HOSD6Wa; 0; 1474740813; (1080, 1080); 8; 3964807919; False
False; 1344719246126771819; Who is in for some #supyoga on saturday? Maybe we skip the #treepose this time ) #indiansummer #potsdam #griebnitzsee #yogazirkel; BKpZwecBG5r; 0; 1474523047; (1080, 1080); 36; 1715238007; False
False; 1343238671436776827; Good morning in the morning :sleeping_face: #potsdam #griebnitzsee #goodmorning #sunset #newday #potd #picoftheday #pictureoftheday #instagram #instadaily #instagood #all_shots #all_sunsets #sky #trainstation #new #onmyway #work #berlin #iphone7 #iphone #pic; BKkJHRzjoV7; 1; 1474346549; (1349, 1080); 32; 250112359; False
False; 1342161252642167283; Abflug von Tegel.  #berlin #berlinfromabove #wannsee #wannseeberlin #griebnitzsee #potsdam #igaviation #igersaviation #lx #flyswiss #swiss #staralliance #txl #tegel #germany #wanderlust #instatravel #airbus #airbuslover #windowseat #europe #lufthansagroup; BKgUIxXB5nz; 2; 1474218111; (1080, 1080); 35; 176574280; False
False; 1341469742422161779; Sunset #griebnitzsee #berlin #berlinstyle #diestadtberlin #sunset #sunrise #sun #TagsForLikes #TFLers #pretty #beautiful #red #orange #pink #sky #skyporn #cloudporn #nature #clouds #horizon #photooftheday #instagood #gorgeous #warm #view #night #morning #silhouette #instasky #all_sunsets; BKd25-SAflz; 19; 1474135676; (741, 1080); 86; 1186921297; False
False; 1340632715229535325; #griebnitzsee #weddinglokation #beautifulview; BKa4ln9hhxd; 0; 1474035895; (1080, 1080); 11; 3163097259; False
False; 1338643246976833793; Dear Instagram, It's nice to finally meet you. :waving_hand::nerd_face:; BKT0PDRB5kB; 2; 1473798732; (1080, 1080); 17; 3929691583; False
False; 1338622506386489937; Here is the beach. For ever summer at griebnitzsee train station. #sup #standuppaddling #griebnitzsee #potsdam #berlin #kayak #bike #cycle #visitbrandenburg #suppotsdam; BKTvhPFgoJR; 3; 1473796259; (811, 1080); 126; 2306824280; False
False; 1338272262105068081; Morning #yoga #onthemat, evening yoga on the #board. Perfect combination! #supyoga #yogazirkel #potsdam #griebnitzsee #yogainspiration #babelsberg @pedales23; BKSf4grh_Ix; 5; 1473754507; (1080, 1080); 34; 1715238007; False
